文件	增长	通胀	货币政策	市场
19981231 GS UEA Key Issues for the 1999 Outlook	"经济短期动能不错，但我们认为1999年美国经济将会明显放缓。
    经济短期动能不错。Holiday消费强劲，联储pmi也不错，虽然全国PMI还在回落，但联储PMI已经有小幅回升。首申虽然创新高，但消费者信心很好，消费者调查显示就业在好转。
    在1998年，虽然美国主要贸易国家放缓，但美国经济受到强劲股市支持，经济尚好。我们认为1999年美国经济将会明显放缓。主要原因是，私人部门saving and investment存在创记录的赤字. The key issue for 1999 is whether and how the record deficit between private-sector saving and investment in plant, equipment, and real estate will be corrected. The positive wealth effect of recent years is apt to dissipate as returns on stocks revert to normal.
    Y2K是个重大问题，但我们不认为会导致衰退。本质上Y2K将导致1999年对电脑进行各种修补工作，这些也产生GDP，但产生利润，因为不生产新的资本存量。Y2K可以被视作一个natural disaster，但它的timing是已知的，但效果不确定。
    Stock market strength has also figured prominently in the corporate sector’s contribution to the privatesector deficit—as the key link in a virtuous circle supporting the biggest boom in capital spending since World War II.  Computers and peripheral equipment accounted for 80% of the increase in real capital spending between 1992 and 1998 and account for nearly half of the growth rate of the capital stock in 1998. Thus, the drop in capacity usage could be deceiving,"		格林斯潘在1998年的时候拒绝收紧货币政策，当时增长强劲但通胀压力有限，有fomc委员希望收紧。	我们的Portfolio strategy group同事预计美股在1999年将上涨10%，这将不及过去几年的大幅增速，也意味着股市的财富效应将减弱。（问题来了，到底是经济先回升， 即储蓄率先进一步下降，还是股市先进一步走强的？）
19990101 BCA, The Bank Credit Analyst - The Outlook - 1999	"[通缩风险较大，增长将放缓]
    当前的增长问题是供给问题而非需求问题，供给过剩——特别是亚洲供给过剩——导致通缩压力，黄金价格的走弱也是明证。我们还可以通过观察工业品价格来跟踪通缩风险。
    在通缩背景下，劳动力成本还在上升，这将导致企业利润减少。进而企业投资、就业走弱，会压低增长。企业信心很差，当前企业部门或许已经进入衰退了。
    当前房地产、汽车已经很强，很难设想它们会更强。由于当前增长走弱不是加息导致的，因此降息也无法扭转乾坤。况且，居民部门储蓄率已经很低，难以想象还会更低。
    不过我们预期随着货币宽松，增长将会软着陆，但下行风险更大。
    此外，放眼全球，也没有一个经济体可以起到火车头作用把全球经济拉起来。1999年全球各国经济体或者是衰退，或者增长会很弱。"		在通缩风险、增长放缓背景下，联储将会降息。	"1998年的金融市场令人震惊。在10月初，投资者认为全球经济和金融体系将会崩溃，然而几周之间，华尔街再度risk on。我们认为这是连续16年牛市情绪的延续。
    在我们基准预期的软着陆情形下，股市在这种情形下一般表现也还可以。不时的降息将会支持股市，对抗利润的下降。但我们要注意到，当前股市高估已经是历史极值。
    有分析师认为低通胀、低利率导致更高的估值，这个逻辑有问题，因为1960s也是较低、较稳定的通胀，当前估值远远高于1960s（这里有几张很不错的估值的图）
    大部分泡沫破裂源自加息，例如1920s、1987、日本1989，当前是通缩压力更大，因此也许不会因为加息而破裂。
    当前large cap跑赢small cap的情形让人想起1960s末、1970s初的漂亮50行情。（现在好像也是如此？？？）"
19990101 BCA, The Bank Credit Analyst THE STARTLING IMPLICATIONS OF COMING DEMOGRAPHIC SHIFTS	"1998年美国增长尚且稳定有两个原因，第一是家庭消费稳健，收入不错，股市提供财富效应，第二是企业部门在盈利走弱的情况下继续维持较高投资。
    我们预期企业投资会走弱，虽然当前没有数据支持这一点，下一步密切关注new orders for the capital goods. 
    对于韩国增长触底回升迹象，但可持续的回升需要需求回暖，但我们看不到这一点。"			"低配股票。股市高估已经是历史极值，因此风险偏下行，我们建议低配股票。1998年的股市在利率下降的支持下，对抗了利润下降和金融市场冲击，体现了长期牛市思维。然而当前的市场并不健康，指数依靠few large-cap stocks。大企业股票大幅跑赢小企业。
    债券收益率可能低位走低。确实，我们的债券估值模型显示债券很贵，已经贵了超过2个标准差。但由于我们预计增长走弱，通胀也走弱，联储会降息，因为我们预计长端利率将低位徘徊。"
19990108 JPM_Global_Data_Watch_Do_1999-01-08_19990108	"当前有两个分化，第一是美国强、全球弱，第二是美国家庭强、工业生产弱，家庭消费强、房地产强。
    巴西股债遭到抛售，因为巴西政府宣布暂停支付债券利息。"			
19990115 JPM_Global_Data_Watch_A__1999-01-15_19990115				巴西货币贬值扰动金融市场。
19990122 GS UEA Y2K Fears Will Boost Growth, but Rate Spike Is Unlikely	房地产数据很好，联储PMI在显著回升。		格林斯潘在听证会上表态继续on hold。其实有联储委员担心，市场对于联储支持股市的能力过度自满。	
19990128 FOMC Greenbook_Password_Removed	四季度GDP增长可能高达5%，GDP的各个分项都有望好于预期，甚至是净出口。如果一直这么增长下去，早晚会有通胀压力。不过我们预期增长会放缓，其关键假设是高涨的股市将难以持续高涨，居民财富效应将下降。			
19990129 FOMC Bluebook_Password_Removed				"巴西贬值事件并没有引发避险情绪，债券收益率实际上趋于上升，当前ffr期货也没有预期2月降息，但仍然预期在1999年中有可能降息。
   过去六周股市广泛上涨，得益于Q4较高的盈利。科技股上涨尤其厉害。（从图中看，10月底nasdaq就开始跑赢wilshire 5000了）（巴西贬值仅很短暂的抑制股市，或者说让高涨的股市短暂调整，然后很快继续上涨）"
19990129 GS UEA Social Security Accord Holds Key to Large Tax Cuts	"12月的投资数据也很强。
   当前CBO的财政盈余预测很乐观，这引发了减税的可能性。如果减税通过，这将给债券收益率带来上行压力，因为货币会紧缩。"			
19990201 BCA, The Bank Credit Analyst WHERE ARE WE IN THE LONG WAVE	"当前有两大分化。第一是美国vs.全球。最近的增长超出预期。第二是股市高涨与全球通缩力量。
    当前美国增长超出预期，但全球仍然疲弱。我们预期美国增长会跟随走弱。当前美国经济有典型偏热症状，需要经济放缓。这些偏热的迹象包括增长量，货币增长高，信贷增长高，失业率低，储蓄率低，经常项目赤字，股市泡沫。如果继续偏热下去，很多不平衡会继续上升，最终导致经济和股市的硬着陆。一般来说，这些过热迹象需要货币紧缩，但全球确实通缩环境。
    股市将难以疯涨，即使只是股市上涨速度温和放缓，财富效应下降，也意味着企业盈利将进一步承压。（这个是核心逻辑）最近的美国增长较好有不寻常的好天气原因。"		"联储在1998年9月、11月降息75bp，是担心俄罗斯违约导致的信贷市场收紧对美国经济的冲击，现在联储有后悔的理由了，因为降息进一步点燃了股市泡沫。
    由于通胀迹象不大，当前信贷利差仍然没有正常化，因此联储降息的可能性也不大。"	"当前股市very narrowly based and extreme overvaluation，主要是科技股拉动，盈利前景也不佳。当前股市下跌的空间很大。Investors feel that there is no viable alternative to the equity market and the bullish view is supported by the fast rebound in prices after each market sell-off during recent years。
   继续高配债券，低配股票。"
19990201 PIMCO Looking Good _ PIMCO	"（这一篇文章，Gross讨论了当时的热门议题，就是资本主义在全球如何改造的更好。可以看出来，当时亚洲金融危机、俄罗斯、韩国、巴西、阿根廷等一系列问题，是当时的中心议题。Gross对于全球增长是非常悲观的）
    Krugman提出我们应当重新学习衰退经济学。不过最近韩国、泰国等亚洲各国的回升好像跟日本的情况不一样。Soros提出建立更强力的国际机构，比IMF更强的，来维稳全球金融秩序，但这会代理道德风险。Jaf Sachs提出使用浮动汇率，这也许是最好的办法。
    The global economy is mired in a several years/less than a decade long deflation brought about by over-investment financed with too much short term debt. （Gross不看好增长，但也不认为会进入长期通缩情况。因此他反对重新加强监管，这可能带来更多的坏处，不能因为经济周期性的不好而加强监管）（潜台词是，Gross认为当前经济周期不强，再走弱几年也正常）
"			、
19990203 FOMC Transcript_Password_Removed	"格林斯潘：
   最近增长非常好，超预期，以至于许多分析师认为是不可持续的高增速。特别是利率敏感部门，例如房地产、汽车。全球似乎尚未拖累美国。

？Greenspan: “There is very little evidence at this stage that the expansion is slowing… I would be disinclined to go asymmetric toward tightening atthis stage because the data may turn out to be softer than I suspect, and flipping the symmetry back and forth would not help us.

（整体感受：委员们希望收紧政策，但格林斯潘认为技术进步，应该看就业市场是否进一步收紧，以及看CPI是否真的上升）（格林斯潘此时的观点，不就是AIT的潜在假设吗？不就是不看重失业率，而是等到真的看到CPI上升才算完？）"	"格林斯潘：
    当前通胀没有看到压力。所有的模型预测，可能存在遗漏变量问题，那就是没有考虑到生产率进步。全球供给过剩也抑制了美国通胀。"	"格林斯潘：
    我们降息75bp是为了解决freezing-up of financial markets. 现在垃圾债利差仍高，仍然尚未解决。不过股市缺意外上涨起来了，这确实有理由担心，因为这可能继续扩张需求。
    由于技术进步的原因，仅仅强劲的增长不是收紧货币政策的理由，应该观察就业市场和CPI、PPI。
    有委员倾向于释放收紧倾向，我认为应当继续保持对称的货币政策表态。"	"（关于技术进步的两段话）
the head of British Telecom. He was saying that the availability of new technologies and synergies is accelerating at such a pace that they don’t know what to invest in. Everything is terrific. It is a question of which of the individual rates of return is higher. They are all above the cost of capital. Larry Meyer mentioned a discussion he had with a senior Microsoft researcher who was confirming the same thing."
19990205 GS UEA Brazil Probably Only a Small Effect on U.S. Growth	"消费很强，房地产销售创历史新高，内需没有减弱迹象。内需支持下，制造业回暖，NAPM在1月明显回升。
   我们估计巴西贬值冲击对美国增长影响在0.25pp左右，并不大。"			
19990219 GS UEA Renewed Pressures For Treasury Funding Reforms	房地产新开工再创新高，就业市场很好，首申再创低位			（注意，2月份考虑到弹劾已经结束。但这个1-2月份，对于考虑到弹劾案的讨论都很少，不是市场焦点）
19990226 GS UEA No Monetary Policy Easing This Year	"我们调高了增长预测。现在经济强的迹象是全方面的，包括支出、生产和就业。GS FCI也非常宽松。

（我对二月份的解读：经济回暖导致降息预期price out, 短端收益率明显回升，2年期level回到ffr的水平即不再倒挂，股票市场回落，成长股相对下跌更多。这个月应该就是连续看到各类指标转头向上。市场价格是最真实的。大宗商品价格仍然维持弱势，可见全球增长仍然不行）
（从3月份价格走势来看，应该是联储释放了鸽派信号，表示将继续维持鸽派）"		"我们的货币政策观点发生了变化，我们认为1999年不会降息了（其实这也是市场信号…呵呵呵呵），暂时预计1999年按兵不动，并且存在加息可能性。
    格林斯潘释放的仍然是中性讯息（实际上，联储官员确实把自己想的直接明了的表达出来，Transcript里面提到的想法，联储主席会在外面反复说）"	"这意味着最近的债市sell off即使recover也不会回来太多。
"
19990301 BCA, The Bank Credit Analyst THE FINANCIAL MARKET IMPLICATIONS OF COMING DEMOGRAPHIC SHIFTS (PART 2)	"[当前美国和全球增长的分化并未收敛]  
    美国的增长继续极度失衡，居民储蓄率显著下降，企业financial deficit明显上升，这些都不可永远持续。我们认为经济放缓的关键是企业盈利下降情况下的雇佣放缓和投资放缓，但当前还没有迹象。当前企业投资仍然很强。居民和企业支出强劲与强劲的股市密不可分，这推升了居民财富，减少了企业融资成本。企业盈利将会下降，关键是全球商品价格维持低位（所以关键又是，全球商品价格如何涨起来了？韩国等国家如何好起来了？）。
    积极的信息是，当前NAPM回升，对应着全球放缓对于美国拖累最强的时候已经过去。因此1999年美国增长可能不会很快落到趋势线以下。
    全球仍然疲弱。全球贸易在全面收缩，非美GDP在1998Q4明显下降。这意味着美国仍将面临低通胀的弱企业盈利。"		"联储近期将不会降息，但下半年可能降息。
    联储去年降息是担心信贷市场暂停。从当前来看，显然是过度宽松了，但当时是无法判断的。
    当前联储鹰派声音在上升。认为货币过紧的理由有黄金很弱、商品很弱——但这其实反映全球。认为过松的理由是需求、信贷和股市强。整体上我们认为看起来货币政策是偏松一些。
    不过，在实际看到通胀压力以前，联储极度不可能加息（通胀是滞后的啊，BCA应该早就知道才对啊？）"	"债券的周期性背景恶化，美国经济并未如预期那样放缓，债券已经回到中性估值（卧槽2月份收益率上涨了好多好多），但结构性背景依然利好债券，1999年下半年收益率将会重拾下降趋势。未来美国增长将会走弱，或者美股崩盘，都会使得美债收益率下降。
    股市风险进一步上升，因为债券收益率上升情况下，股市估值水平居于季度高位，我们建议对于股票要谨慎。"
19990301 PIMCO Foxes And Hedgehogs _ PIMCO	"PIMCO既有3-5年的长期视野，也擅长交易和投资技巧。
   … our use of undervalued bond futures to extend the duration of our portfolios during most of the bond bull market which began back in September of 1981. By my rough calculation, nearly half of PIMCO's long-term outperformance of the market has come from this foxy/hedgehogian idea: cheap financial futures combined with 1/4 to 1/2 of a year of duration extension. 
    然而随着financial futures已经不再便宜，债券的牛市可能几近结束。未来的收益率可能是区间波动，从4.5-6.5%，在这个长期框架下，卖出同样future的期权就不错，可以长期获得收益。我们在这方面的投资技巧是最强的，如果你认可这个思路，请把钱交给我们。"			
19990305 GS UEA Taking a Global View of the U.S. Bond Market	最新的就业数据显示美国经济非常强，但我们怀疑这种强劲增长可能难以维持。第一是全球增长仍然疲弱，第二是制造业就业仍在下降，第三是收益率的上升会抑制增长。		工资增速不强，这减少了联储降息的可能性。	
19990312 GS UEA Republican Budget Plan Would Halt Fiscal Drag	2月的零售销售数据确认了居民消费的极其强劲，主要是1月上修很多。			由于最新增长数据强劲，而且没有通胀迹象，股票创新高。
19990319 GS UEA Giving Due Respect to the Drop in U.S. Personal Saving	"增长平稳，通胀迹象减弱，这对于股债都是支持。
    工业生产数据显示2月份IP温和，不过房地产保持较强。
    所有的储蓄率数据均显示，美国居民储蓄率在持续下降。但是要知道，是储蓄率的下降decline对应GDP，而不是储蓄率的level。这不可持续。"	最新的CPI数据不强，与labor cost和ppi交叉印证，没有通胀迹象。	联储有可能在3月份释放中性倾向。	（这篇文章讨论了居民储蓄率的几个衡量指标，对于capital gain的处理等等，是一个有意义的专题）
19990319 JPM_Global_Data_Watch_Bo_1999-03-19_19990319	德国商业信心大幅下降，这引发ECB保持宽松立场，看起来西欧的降息周期尚未结束。			
19990324 FOMC Greenbook_Password_Removed	"过去六周经济很好，就业和收入都不错。
    股市超出我们预期的上涨，不过道琼斯在触及10,000点以后回调，原因是估值偏高、盈利预期过于乐观，我们也是这么认为的。如果没有故事的进一步上涨，我们认为这种不能维持在过去几年的水平。"	"通胀方面的消息不错，我们边际小幅下修了通胀预测。
   但是，我们依然预期在1999年底、2000年的CPI有上行压力，在2%以上。"		
19990326 FOMC Bluebook_Password_Removed	"2月份增长强劲，导致加息预期上升，股债同跌。
    3月份通胀数据较好，联储释放表态风险是平衡的，短端利率回落，但长端利率、真实利率上升，股市回升。"			
19990326 GS UEA The Rising Specter of Protectionism	最新的耐用品订单显示有所放缓，也许长期被期待的美国经济的放缓终于要发生了。			
19990326 JPM_Global_Data_Watch_Su_1999-03-26_19990326	全球贸易在1999Q1仍然在下降，美国business equipment production, shipments of non-defense capital goods也走弱。			
